Rec No	Cod Imput	Tipo Movim	Fecha Comprob	Periodo Contable	Num Comprob	Descripcion	Importe	Actividad	Tipo Proveedor	Cod Provincia	Nro Ordenpago	Memo
177	58	Facturas Cuenta Corriente	78,599	78,621	2,239	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
178	10,501	Facturas Cuenta Corriente	78,599	78,621	2,239	COMERCIAL EUSEBIA S.A.	6,731.70	0	2	13	0	
179	10,018	Facturas Cuenta Corriente	78,592	78,621	2,180	COMERCIAL EUSEBIA S.A.	13,208.00	0	2	13	0	
180	155	Facturas Cuenta Corriente	78,592	78,621	2,180	COMERCIAL EUSEBIA S.A.	14,377.43	0	2	13	0	
181	53	Facturas Cuenta Corriente	78,592	78,621	2,180	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
182	10,173	Facturas Cuenta Corriente	78,592	78,621	2,180	COMERCIAL EUSEBIA S.A.	1,100.00	0	2	13	0	
183	100,086	Facturas Cuenta Corriente	78,562	78,589	1,216	BANCO DE SANTA FE	383.18	0	16	252	0	
184	100,086	Facturas Cuenta Corriente	78,591	78,621	10,316	BANCO DE SANTA FE	1,233.62	0	16	252	0	
185	100,050	Ventas Cuenta Corriente	78,598	78,621	8,597	COOP AGR.GANAD.BDO.DE YRIGOYEN	169,505.11	2	4	200	0	
186	36	Ventas Cuenta Corriente	78,598	78,621	8,597	COOP AGR.GANAD.BDO.DE YRIGOYEN	500.79	2	4	200	0	
188	100,087	Facturas Cuenta Corriente	78,576	78,589	42,506	Soc Iedad Rural De Rafaela	70	0	18	252	0	
189	100,087	Facturas Cuenta Corriente	78,605	78,621	42,507	Soc Iedad Rural De Rafaela	70	0	18	252	0	
190	100,087	Facturas Cuenta Corriente	78,636	78,651	42,508	Soc Iedad Rural De Rafaela	70	0	18	252	0	
191	100,052	Facturas Cuenta Corriente	78,597	78,621	99,564,814	SENASA	52.6	0	19	252	0	
192	100,052	Facturas Cuenta Corriente	78,597	78,621	99,565,446	SENASA	146.1	0	19	252	0	
193	60,705	Facturas Cuenta Corriente	78,610	78,621	20,031,611	COMUNA EUSEBIA	484.63	0	26	13	0	
194	60,705	Facturas Cuenta Corriente	78,610	78,621	20,316,405	COMUNA EUSEBIA	160.71	0	26	13	0	
195	60,705	Facturas Cuenta Corriente	78,610	78,621	2,031,612	COMUNA EUSEBIA	702.72	0	26	13	0	
196	60,705	Facturas Cuenta Corriente	78,610	78,621	2,031,610	COMUNA EUSEBIA	115.63	0	26	13	0	
197	60,705	Facturas Cuenta Corriente	78,610	78,621	20,316,432	COMUNA EUSEBIA	337.75	0	26	13	0	
198	60,705	Facturas Cuenta Corriente	78,610	78,621	203,161	COMUNA EUSEBIA	334.73	0	26	13	0	
199	60,705	Facturas Cuenta Corriente	78,610	78,621	203,169	COMUNA EUSEBIA	115.27	0	26	13	0	
200	60,705	Facturas Cuenta Corriente	78,610	78,621	203,162	COMUNA EUSEBIA	354.46	0	26	13	0	
201	60,706	Facturas Cuenta Corriente	78,611	78,621	40,726,884	API	345	0	21	252	0	
202	60,706	Facturas Cuenta Corriente	78,608	78,621	36,526,884	API	550	0	21	252	0	
203	60,706	Facturas Cuenta Corriente	78,612	78,621	72,926,884	API	525	0	21	252	0	
204	60,706	Facturas Cuenta Corriente	78,606	78,621	34,526,884	API	824	0	21	252	0	
205	60,706	Facturas Cuenta Corriente	78,611	78,621	30,926,884	API	124	0	21	252	0	
206	60,706	Facturas Cuenta Corriente	78,608	78,621	726,884	API	124	0	21	252	0	
207	60,706	Facturas Cuenta Corriente	78,611	78,621	88,326,884	API	166	0	21	252	0	
208	60,706	Facturas Cuenta Corriente	78,606	78,621	49,826,884	API	824	0	21	252	0	
210	100,078	Facturas Cuenta Corriente	78,636	78,651	85,145	YPF HUGO MANCINI	630.92	0	5	13	0	
211	80,304	Facturas Cuenta Corriente	78,651	78,651	63,208	LOS FERTO SRL	469.93	0	5	252	0	
212	80,304	Facturas Cuenta Corriente	78,638	78,651	97,905	OPER.DE ESTAC.DE SERV. SA	81.96	0	5	252	0	
213	80,304	Facturas Cuenta Corriente	78,638	78,651	97,906	OPER.DE ESTAC.DE SERV. SA	649.22	0	5	252	0	
214	80,304	Facturas Cuenta Corriente	78,626	78,651	49,355	OPER.DE ESTAC.DE SERV. SA	409.41	0	5	252	0	
215	80,304	Facturas Cuenta Corriente	78,640	78,651	50,217	OPER.DE ESTAC.DE SERV. SA	346.68	0	5	252	0	
216	10,008	Facturas Cuenta Corriente	78,651	78,651	128	SANTA CRUZ DANIEL DOMINGO	30,305.00	0	7	13	0	
217	100,075	Facturas Cuenta Corriente	78,625	78,651	42	ANDRETICH HUGO A	900	0	8	252	0	
218	100,076	Facturas Cuenta Corriente	78,646	78,651	17,983	FERRETERIA LA TUERCA FLOJA	1,316.86	0	10	13	0	
219	100,076	Facturas Cuenta Corriente	78,606	78,621	21,263	GOMERIA SANTA EUSEBIA	1,736.01	0	11	13	0	
220	10,170	Facturas Cuenta Corriente	78,606	78,621	21,264	GOMERIA SANTA EUSEBIA	385.96	0	11	13	0	
221	90,456	Facturas Cuenta Corriente	78,624	78,651	3,416	SANCOR SEGUROS	469.71	0	14	18	0	
222	100,077	Facturas Cuenta Corriente	78,636	78,651	15,416	SANCOR SEGUROS	150.9	0	14	18	0	
223	100,088	Facturas Cuenta Corriente	78,604	78,651	14,316	SANCOR SEGUROS	479	0	14	18	0	
224	204	Facturas Cuenta Corriente	78,611	78,621	38,900	TORRAZA LUIS ORDEÑADORAS	2,650.04	0	15	115	0	
225	100,083	Facturas Cuenta Corriente	78,612	78,621	38,908	TORRAZA LUIS ORDEÑADORAS	700	0	15	115	0	
226	31,001	Facturas Cuenta Corriente	78,612	78,621	38,908	TORRAZA LUIS ORDEÑADORAS	1,870.00	0	15	115	0	
227	209	Facturas Cuenta Corriente	78,634	78,651	1,125	FUNDACION CASTELLANOS	15,004.60	0	27	252	0	
228	10,187	Facturas Cuenta Corriente	78,639	78,651	1,281,655	EPE	1,640.99	0	25	208	0	
												
												
229	150	Facturas Cuenta Corriente	78,639	78,651	1,281,654	EPE	3,891.23	0	25	208	0	
230	10,170	Facturas Cuenta Corriente	78,628	78,651	315	TALLER METALURGICO LOPEZ	486.24	0	17	13	0	
231	204	Facturas Cuenta Corriente	78,621	78,621	396	INSUTAMBO AYR	994.6	0	13	253	0	
232	100,080	Facturas Cuenta Corriente	78,623	78,651	19	PIOVANO DANILO PABLO	11,577.64	0	18	13	0	
233	209	Facturas Cuenta Corriente	78,623	78,651	20	PIOVANO DANILO PABLO	4,086.00	0	18	13	0	
